Short Form,Full Form (English),Description,Arabic,Description (Arabic),Chinese,Description (Chinese),French,Description (French),German,Description (German),Italian,Description (Italian),Japanese,Description (Japanese),Korean,Description (Korean),Portugese,Description (Portugese),Russian,Description (Russian),Spanish,Description (Spanish)
DPE,Double Piston Extender,,,,二次递推/递归,,,,,,,,,,,,,,,,Doble Extensor de Pistones,
,Folding DPE,"A double piston extender that pushes another sticky piston in from the side, usually used in 0-tick redstone contraptions to move blocks over two blocks as fast as possible.",,,折叠二递推,,,,,,,,,,,,,,,,Doble Extensor de Pistones Retraíble,
TPE,Triple Piston Extender,,,,三次递推/递归,,,,,,,,,,,,,,,,Triple extensor de pistones,
