Short Form,Full Form (English),Description,Arabic,Description (Arabic),Chinese,Description (Chinese),French,Description (French),German,Description (German),Italian,Description (Italian),Japanese,Description (Japanese),Korean,Description (Korean),Portugese,Description (Portugese),Russian,Description (Russian),Spanish,Description (Spanish)
,Decoder,"A storage tech term. Refers to a contraption that translates code or data to item, like an encoded storage hall, the inverse of an Encoder, or one that translates code into user-readable information, like a display.",,,解码器,储电术语。指一种装置，将代码或数据转换为物品，例如编码存储大厅，与编码器（Encoder）相反，或将代码转换为用户可读的信息，例如展示装置。,,,,,,,,,,,,,,,Decodificador,
,Deserializer,"In storage tech, it refers to components used to convert Serial codes into Parallel codes or viceversa. These sometimes also act as Encoders or Decoders, in the computational redstone sense. For example serial hex to parallel binary is a deserializer encoder.",,,串行信号接收器,储电术语。指用于将串行码转换为并行码或反之的组件。在计算红石意义上，这些组件有时也充当编码器或解码器。例如，从串行十六进制到并行二进制的转换属于解串器编码器。,,,,,,,,,,,,,,,Deserializador,
,Dropper Speed,"Storage tech term. Similar to Hopper speed, but less frequently used. Refers to the speed at which items are processed in a dropper when clocked at the minimum interval (1 item every 4gt). Usually written as an integer or fraction (e.g. ""3x or 1/2x dropper speed""). 1x Dropper speed is equal to 2x Hopper speed.",,,投掷器速,储电术语。与漏斗速度类似，但使用较少。指投掷器在最小间隔（每4游戏刻处理1个物品）时处理物品的速度。通常以整数或分数表示（例如“3倍或1/2倍投掷器速度”）。1倍投掷器速度等于2倍漏斗速度。,,,,,,,,,,,,,,,Velocidad de Dropper,
,Encoded,"Storage tech term. A system is said to be encoded when a signal in the form of a code is used to decide the fate of items or boxes. In broader terms, it refers to systems that use codes to transfer instructions. Codes can be a Binary signal, a Hexadecimal signal or, less often, octal or quaternary, with either multiple or single digits.",,,编码的,,,,,,,,,,,,,,,,Codificado,
,Encoder,"Storage tech term. Refers to a contraption that translates items into a code, where code can be any sort of signal in any base (bin, hex, other less used ones) or other codes (block event delay), or a contraption that translates a player input (say a selection panel) into code.",,,编码器,,,,,,,,,,,,,,,,Codificador,
,Fill (Level) (Box) Sorter,"Storage tech term. Refers to a Box Separator that has different outputs based on how full the box is, usually Empty / Full / Partial. IsEmpty is a Fill Sorter that only has outputs for empty and not-empty ( Full / Partial ) IsFull is a Fill Sorter that only has outputs for full and not-full ( Empty / Partial )",,,填充度分类器,,,,,,,,,,,,,,,,Clasificador de nivel de llenado,
,Filtered Loader,Storage tech term. A Loader combined with an item filter that fills a box with just one item type.,,,分类打包机,,,,,,,,,,,,,,,,(Box) Loader con Filtro,
,First box placement,"Storage tech term, refers to a feature of a contraption (usually box unloader or box display) that automatically places the first box.",,,自喷盒,,,,,,,,,,,,,,,,Primera Colocación de (Shulker) Box,
,Fixed Sorter,Storage tech term. Short for fixed type item sorter: a sorter that filters out one single item type and can't be changed without manual intervention.,,,固定分类,,,,,,,,,,,,,,,,Clasificador Fijo,
,Full Item Stack,A stack of items up to 64 or 16 items depending on item type,,,物品组,一个物品栏槽位内/掉落物实体中，到达堆叠上限的一些物品，如64，16，1。具体上限因物品而异。,,,,,,,,,,,,,,,Stack de Items completo,
,Full Speed (Box) Loader,Storage tech term. Box Loader tht loads boxes without pausing during box replacement.,,,满速打包机,,,,,,,,,,,,,,,,Box Loader de máxima velocidad,
FHL,Fully Hopper-Locked,,,,漏斗全锁,这个装置内的漏斗在闲置时均被红石充能，上锁。,,,,,,,,,,,,,,,Con Todos los Hoppers Bloqueados,
,Furnace Array,,,,熔炉组,用于高效，自动化，并列烧制物品的，由熔炉组成的阵列。,,,,,,,,,,,,,,,Array de Hornos,
,Global,"Storage tech term. Annotates that a signal comes from a global system ( a ""brain"" ), not from within a Slice. For example, one global clock could send signals to 8 slices on an interval.",,,全局的,,,,,,,,,,,,,,,,Global,
,Global Output,"Storage tech term. Refers to a contraption, usually a 1-wide tileable one, that has only one output for all the Slices, in contrast to one output per slice.",,,全局输出,,,,,,,,,,,,,,,,Salida global,
HS,Hopper Speed,"Storage tech term. Refers to the speed at which items are processed in a hopper (1 item every 8gt). Often used as a way of quantifying speed of a system in terms of how many hoppers worth of items are processed in or out. Usually written as an integer or fraction (e.g. ""3x or 1/2x hopper speed"").",,,漏斗速,储电述语，描述漏斗操作物品的速度（8游戏刻/物品）,,,,,,,,,,,,,,,Velocidad de Hopper (9k items/h),
,Hopper-Locked,Storage tech term. Used to tag contraptions that lock their hoppers when the hoppers are not needed. This is because hoppers are otherwise very laggy.,,,锁漏斗,储电述语，描述将未使用的漏斗进行上锁以减少卡顿的行为。,,,,,,,,,,,,,,,Hoppers Bloqueados,
,Hybrid (Box) Loader,"Refers to Box loader that puts loose items into a chest until the chest fills up, then starts filling shulker boxes with the items.",,,缓存打包机,,,,,,,,,,,,,,,,Loader híbrido (de Shulkers),
,Item Call,"Storage tech term. Refers to a device, mechanism or feature that allows the user to request items. The requested items may land in a user accessible inventory or be used to restock some component. Some systems can also use item call to automatically restock, for example from Bulk Storage.",,,物品呼叫,,,,,,,,,,,,,,,,Llamada de Items,
,Item Checker,Storage tech term. Device filters shulker boxes with stackable items of the same type. Useful for set-based processing where an extra item is needed to configure an item set.,,,物品比对,,,,,,,,,,,,,,,,Comprobador de Items,
,Item Input,Storage tech term.,,,物品输入,,,,,,,,,,,,,,,,Input de Items,
,Item Overflow,Storage tech term.,,,物品溢出,,,,,,,,,,,,,,,,Overflow de Items,
,Item Wanker (aka Keygen),"Storage tech term. Usually part of a Box Sorter, a keygen is a contraption that takes one item out of a box, breaks it and sends the item and sends one through one hopper or Dropperline and the other through another one, with some delay.",,,潜影盒取样器,,,,,,,,,,,,,,,,Item Wanker,
,Keygen (aka Item Wanker),"Storage tech term. Usually part of a Box Sorter, a keygen is a contraption that takes one item out of a box, breaks it and sends the item and sends one through one hopper or Dropperline and the other through another one, with some delay.",,,潜影盒取样器,,,,,,,,,,,,,,,,Keygen,
,Loader,Storage tech term.,,,打包机,储电述语，指自动将物品塞入潜影盒内并输出该盒的装置。*,,,,,,,,,,,,,,,Cargador,
,Local,"Storage tech term. Annotates that a signal  comes from within a Slice, not from a global system. For example, all 8 slices have their own clock.",,,"局部的, 非全局的",,,,,,,,,,,,,,,,Local,
,Local Output (aka Slice Preservation),Storage tech term.,,,单片输出,,,,,,,,,,,,,,,,Salida local (Preservación de slice),
,Mixed Box,Storage tech term. Refers to a shulker box with multiple item types.,,,混杂盒,储电述语，形容装有不同物品的潜影盒。,,,,,,,,,,,,,,,Box Mezclada,
,Mixed Box Loader,Storage tech term. Refers to a Box Loader that can handle multiple itemtypes going to the same box. Fullness detection is usually done by reading that items are backing up in the container ( hopper / dropper ) feeding the box.,,,混杂打包机,,,,,,,,,,,,,,,,Loader de Boxes Mezcladas,
MBS,Multi Box Sorter,Storage tech term.,,,多种类潜影盒分类,,,,,,,,,,,,,,,,Clasificador Múltiple de Boxes,
MIS,Multi Item Sorter,"Storage tech term. Refers to a type of item sorter (system) that sorts multiple item-types into a single chest or group of chests, usually used to reduce space used by single item-type sorters to group not too common items into categories.",,,多物品分类,,,,,,,,,,,,,,,,Clasificador Múltiple de Items,
,n X,Usually refers to hopper or dropper speed in storage tech community,,,n倍速,在储电社群中用于计算漏斗/投掷器处理物品的速度。,,,,,,,,,,,,,,,n X,
,Pair Assembler,"Storage tech term. Refers to a contraption that takes in multiple boxes (usually single item-type boxes) and outputs pairs of boxes so that the boxes of each pair have the same item type. They differ in speed, how they handle single boxes (ones that don't have a matching pair) and implementation in general.",,,潜影盒配对器,,,,,,,,,,,,,,,,Ensamblador de Pares,
,Pair Finder,"Storage tech term. Refers to a contraption that takes in multiple boxes (usually single item-type boxes) and outputs pairs of boxes so that the boxes of each pair have the same item type. They differ in speed, how they handle single boxes (ones that don't have a matching pair) and implementation in general.",,,潜影盒配对器,,,,,,,,,,,,,,,,Buscador de Pares,
,Pair Optimizer,Storage tech term.,,,潜影盒最优配对器,,,,,,,,,,,,,,,,Optimizador de Pares,
,Pair Searcher,"Storage tech term. Refers to a contraption that takes in multiple boxes (usually single item-type boxes) and outputs pairs of boxes so that the boxes of each pair have the same item type. They differ in speed, how they handle single boxes (ones that don't have a matching pair) and implementation in general.",,,潜影盒配对器,,,,,,,,,,,,,,,,Buscador de Pares,
,Panel,,,,面板,,,,,,,,,,,,,,,,Panel,
PEIS,PEIS,,,,并行卸货阵列/整流器,,,,,,,,,,,,,,,,PEIS,
,Peripheral,"When used in storage tech, it is used to describe contraptions that are almost Storage Tech. Examples are Furnace Arrays, Brewers, Crafting stations, Autocrafters, ...",,,其他的,,,,,,,,,,,,,,,,Periférico,
