Short Form,Full Form (English),Description,Arabic,Description (Arabic),Chinese,Description (Chinese),French,Description (French),German,Description (German),Italian,Description (Italian),Japanese,Description (Japanese),Korean,Description (Korean),Portugese,Description (Portugese),Russian,Description (Russian),Spanish,Description (Spanish)
,AND-Gate,Slimestone term. Usually refers to the AND-gate in flying machines.,,,安全连杆,绿萌术语。通常指飞行器中的与门，用于控制多个输入信号的逻辑组合,,,,,,,,,,,,,,,Puerta AND,
,Overhead,"Slimestone term. Usually used for bedrock breakers, which is the amount of extra space a machine requires to move down a layer. It is usually only 1 number, which means it's the same in all directions, but can be multiple instead, usually 1 for each direction. It's the number of additional blocks that must be broken around the machine's primary breaking pattern to create a hole large enough for the machine to fit.",,,预留,,,,,,,,,,,,,,,,Overhead,
,Return Station,Slimestone term.,,,返回站,,,,,,,,,,,,,,,,Estación de retorno,
,Trench-less,Slimestone term. Usually refers to a machine that does not require a trench while the others of the same type usually does.,,,无沟,,,,,,,,,,,,,,,,Sin Trincheras,
